organization	organ	organization
25	25	25
than	than	than

>	>	>
for	for	for
men	men	men
under	under	under
25	25	25
,	,	,
because	becaus	because
women	women	woman
on	on	on
the	the	the
average	averag	average
drive	drive	drive
more	more	more
carefully	care	carefully

>	>	>
than	than	than
most	most	most
men	men	men
-	-	-
-	-	-
in	in	in
fact	fact	fact
,	,	,
almost	almost	almost
as	as	a
carefully	care	carefully
as	as	a
i	i	i
did	did	did
before	befor	before
i	i	i
was	was	wa
25	25	25
.	.	.

as	as	a
many	mani	many
people	peopl	people
have	have	have
mentioned	mention	mentioned
,	,	,
there	there	there
is	is	is
no	no	no
reason	reason	reason
why	whi	why
insurers	insur	insurer
could	could	could
not	not	not
offer	offer	offer
a	a	a
contract	contract	contract
without	without	without
abortion	abort	abortion
services	servic	service
for	for	for
a	a	a
different	differ	different
premium	premium	premium
.	.	.

the	the	the
problem	problem	problem
is	is	is
that	that	that
there	there	there
is	is	is
no	no	no
guarantee	guarante	guarantee
that	that	that
this	this	this
premium	premium	premium
would	would	would
be	be	be
lower	lower	lower
for	for	for
those	those	those
who	who	who
chose	chose	chose
this	this	this
type	type	type
of	of	of
contract	contract	contract
.	.	.

although	although	although
you	you	you
are	are	are
removing	remov	removing
one	one	one
service	servic	service
,	,	,
that	that	that
may	may	may
have	have	have
feedbacks	feedback	feedback
into	into	into
other	other	other
types	type	type
of	of	of
covered	cover	covered
care	care	care
which	which	which
results	result	result
in	in	in
a	a	a
net	net	net
increase	increas	increase
in	in	in
actuarial	actuari	actuarial
costs	cost	cost
.	.	.

for	for	for
an	an	an
illustrative	illustr	illustrative
example	exampl	example
in	in	in
the	the	the
opposite	opposit	opposite
direction	direct	direction
,	,	,
it	it	it
may	may	may
be	be	be
possible	possibl	possible
to	to	to
add	add	add
services	servic	service
to	to	to
an	an	an
insurance	insur	insurance
contract	contract	contract
and	and	and
reduce	reduc	reduce
the	the	the
premium	premium	premium
.	.	.

if	if	if
you	you	you
add	add	add
preventative	prevent	preventative
services	servic	service
and	and	and
this	this	this
reduces	reduc	reduces
acute	acut	acute
care	care	care
use	use	use
,	,	,
then	then	then
the	the	the
total	total	total
premium	premium	premium
may	may	may
fall	fall	fall
.	.	.

these	these	these
words	word	word
and	and	and
thoughts	thought	thought
are	are	are
my	my	my
own	own	own
.	.	.

*	*	*
i	i	i
am	am	am
not	not	not
bound	bound	bound
to	to	to
swear	swear	swear

*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
allegiance	allegi	allegiance
to	to	to
the	the	the
word	word	word
of	of	of
any	ani	any

*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
master	master	master
.	.	.

where	where	where
the	the	the
storm	storm	storm
carries	carri	carry

*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
me	me	me
,	,	,
i	i	i
put	put	put
into	into	into
port	port	port
and	and	and
make	make	make
d	d	d
.	.	.

shea	shea	shea
,	,	,
psu	psu	psu
*	*	*
myself	myself	myself
at	at	at
home	home	home
.	.	.
