organization	organ	organization
to	to	to
look	look	look
so	so	so
calm	calm	calm
down	down	down
.	.	.

>	>	>
there	there	there
'	'	'
s	s	s
lots	lot	lot
of	of	of
information	inform	information
flowing	flow	flowing
on	on	on
tpg	tpg	tpg
for	for	for
those	those	those
interested	interest	interested
in	in	in

>	>	>
learning	learn	learning
.	.	.

one	one	one
can	can	can
participate	particip	participate
in	in	in
those	those	those
discussions	discuss	discussion
without	without	without
ranting	rant	ranting

>	>	>
inaccurately	inaccur	inaccurately
.	.	.

failure	failur	failure
to	to	to
do	do	do
so	so	so
has	has	ha
consequences	consequ	consequence
.	.	.

>	>	>
ah	ah	ah
,	,	,
freeman	freeman	freeman
seems	seem	seems
to	to	to
forget	forget	forget
from	from	from
my	my	my
statement	statement	statement
that	that	that
i	i	i
am	am	am
learning	learn	learning
.	.	.

i	i	i
have	have	have
also	also	also
asked	ask	asked
several	sever	several
of	of	of
the	the	the
not	not	not
-	-	-
so	so	so
-	-	-
hostile	hostil	hostile
folks	folk	folk
on	on	on
this	this	this
group	group	group
for	for	for
sources	sourc	source
of	of	of
information	inform	information
to	to	to
read	read	read
.	.	.

do	do	do
you	you	you
think	think	think
,	,	,
freeman	freeman	freeman
,	,	,
that	that	that
maybe	mayb	maybe
this	this	this
means	mean	mean
i	i	i
am	am	am
interested	interest	interested
in	in	in
learning	learn	learning
?	?	?

i	i	i
think	think	think
it	it	it
does	doe	doe
because	becaus	because
as	as	a
you	you	you
said	said	said
people	peopl	people
who	who	who
don	don	don
'	'	'
t	t	t
know	know	know
anything	anyth	anything
won	won	won
'	'	'
t	t	t
be	be	be
good	good	good
for	for	for
the	the	the
pro	pro	pro
-	-	-
gun	gun	gun
cause	caus	cause
.	.	.

>	>	>
another	anoth	another
good	good	good
habit	habit	habit
to	to	to
get	get	get
into	into	into
is	is	is
to	to	to
go	go	go
read	read	read
-	-	-
only	onli	only
for	for	for
a	a	a
while	while	while
,	,	,
to	to	to
take	take	take

>	>	>
the	the	the
time	time	time
to	to	to
figure	figur	figure
out	out	out
how	how	how
things	thing	thing
work	work	work
.	.	.

>	>	>
another	anoth	another
good	good	good
habit	habit	habit
to	to	to
get	get	get
into	into	into
is	is	is
to	to	to
realize	realiz	realize
that	that	that
not	not	not
everyone	everyon	everyone
is	is	is
you	you	you
freeman	freeman	freeman
and	and	and
accept	accept	accept
mistakes	mistak	mistake
.	.	.

sure	sure	sure
,	,	,
maybe	mayb	maybe
it	it	it
could	could	could
have	have	have
been	been	been
some	some	some
type	type	type
of	of	of
misinformation	misinform	misinformation
being	be	being
slung	slung	slung
by	by	by
some	some	some
anti	anti	anti
-	-	-
gun	gun	gun
nut	nut	nut
but	but	but
it	it	it
wasn	wasn	wasn
'	'	'
t	t	t
.	.	.

i	i	i
made	made	made
my	my	my
statement	statement	statement
to	to	to
inform	inform	inform
everyone	everyon	everyone
of	of	of
this	this	this
and	and	and
everyone	everyon	everyone
who	who	who
replied	repli	replied
said	said	said
don	don	don
'	'	'
t	t	t
worry	worri	worry
about	about	about
it	it	it
but	but	but
also	also	also
to	to	to
learn	learn	learn
as	as	a
much	much	much
as	as	a
you	you	you
can	can	can
.	.	.

they	they	they
accepted	accept	accepted
my	my	my
mistake	mistak	mistake
and	and	and
gave	gave	gave
me	me	me
sources	sourc	source
of	of	of
information	inform	information
and	and	and
told	told	told
me	me	me
to	to	to
read	read	read
as	as	a
much	much	much
as	as	a
possible	possibl	possible
.	.	.

i	i	i
have	have	have
read	read	read
several	sever	several
posts	post	post
of	of	of
yours	your	yours
and	and	and
have	have	have
found	found	found
them	them	them
informative	inform	informative
.	.	.

why	whi	why
don	don	don
'	'	'
t	t	t
you	you	you
give	give	give
me	me	me
the	the	the
same	same	same
chance	chanc	chance
?	?	?

>	>	>
-	-	-
andy	andi	andy

jason	jason	jason
