organization	organ	organization
is	is	is
accuracy	accuraci	accuracy
really	realli	really
too	too	too
much	much	much
to	to	to
expect	expect	expect
?	?	?

>	>	>

>	>	>
-	-	-
andy	andi	andy

>	>	>
-	-	-
-	-	-
no	no	no
it	it	it
'	'	'
s	s	s
not	not	not
.	.	.

if	if	if
you	you	you
would	would	would
have	have	have
read	read	read
my	my	my
other	other	other
post	post	post
i	i	i
was	was	wa
accurate	accur	accurate
.	.	.

here	here	here
'	'	'
s	s	s
what	what	what
i	i	i
said	said	said
:	:	:

[	[	[
material	materi	material
from	from	from
another	anoth	another
post	post	post
]	]	]
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
>	>	>
the	the	the
other	other	other
point	point	point
that	that	that
i	i	i
would	would	would
like	like	like
to	to	to
make	make	make
because	becaus	because
i	i	i
know	know	know
it	it	it
'	'	'
s	s	s
true	true	true
(	(	(
looked	look	looked
this	this	this
one	one	one
up	up	up
in	in	in
the	the	the
illinois	illinoi	illinois

this	this	this
is	is	is
for	for	for
you	you	you
andy	andi	andy
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
>	>	>
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
statutes	statut	statute
before	befor	before
)	)	)
is	is	is
that	that	that
it	it	it
is	is	is
illegal	illeg	illegal
to	to	to
carry	carri	carry
a	a	a
concealed	conceal	concealed
weapon	weapon	weapon
in	in	in
illinois	illinoi	illinois
.	.	.

^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
<	<	<
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
also	also	also
for	for	for
you	you	you
andy	andi	andy
.	.	.

and	and	and
then	then	then
i	i	i
went	went	went
on	on	on
to	to	to
say	say	say
:	:	:

there	there	there
is	is	is
no	no	no
such	such	such
thing	thing	thing
as	as	a
a	a	a
ccw	ccw	ccw
for	for	for
us	us	u
ordinary	ordinari	ordinary
folk	folk	folk
here	here	here
.	.	.

[	[	[
end	end	end
of	of	of
quoted	quot	quoted
material	materi	material
]	]	]

of	of	of
course	cours	course
i	i	i
forgot	forgot	forgot
to	to	to
mention	mention	mention
who	who	who
"	"	"
us	us	u
ordinary	ordinari	ordinary
folk	folk	folk
"	"	"
are	are	are
so	so	so
just	just	just
for	for	for
andy	andi	andy
i	i	i
'	'	'
m	m	m
going	go	going
to	to	to
go	go	go
to	to	to
the	the	the
library	librari	library
tomorrow	tomorrow	tomorrow
and	and	and
photocopy	photocopi	photocopy
the	the	the
part	part	part
of	of	of
the	the	the
illinois	illinoi	illinois
statutes	statut	statute
with	with	with
this	this	this
information	inform	information
and	and	and
post	post	post
it	it	it
.	.	.

ordinary	ordinari	ordinary
citizens	citizen	citizen
can	can	can
not	not	not
get	get	get
a	a	a
license	licens	license
to	to	to
carry	carri	carry
a	a	a
concealed	conceal	concealed
weapon	weapon	weapon
.	.	.

there	there	there
are	are	are
very	veri	very
few	few	few
people	peopl	people
who	who	who
can	can	can
.	.	.

i	i	i
even	even	even
asked	ask	asked
my	my	my
lawyer	lawyer	lawyer
friend	friend	friend
about	about	about
this	this	this
and	and	and
he	he	he
told	told	told
me	me	me
that	that	that
only	onli	only
certain	certain	certain
people	peopl	people
can	can	can
get	get	get
licenses	licens	license
for	for	for
concealed	conceal	concealed
carry	carri	carry
.	.	.

he	he	he
couldn	couldn	couldn
'	'	'
t	t	t
remember	rememb	remember
which	which	which
people	peopl	people
but	but	but
he	he	he
knew	knew	knew
for	for	for
sure	sure	sure
that	that	that
regular	regular	regular
citizens	citizen	citizen
couldn	couldn	couldn
'	'	'
t	t	t
get	get	get
that	that	that
type	type	type
of	of	of
license	licens	license
.	.	.

he	he	he
told	told	told
me	me	me
to	to	to
go	go	go
check	check	check
at	at	at
the	the	the
library	librari	library
for	for	for
the	the	the
statutes	statut	statute
which	which	which
i	i	i
did	did	did
.	.	.

i	i	i
'	'	'
ll	ll	ll
post	post	post
that	that	that
info	info	info
tomorrow	tomorrow	tomorrow
night	night	night
.	.	.

until	until	until
then	then	then
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.

jason	jason	jason
