organization	organ	organization
a	a	a
friend	friend	friend
of	of	of
mine	mine	mine
and	and	and
a	a	a
police	polic	police

>	>	>
officer	offic	officer
essentially	essenti	essentially
recommends	recommend	recommends
that	that	that
if	if	if
you	you	you
can	can	can
,	,	,
fade	fade	fade
away	away	away
.	.	.

even	even	even
if	if	if

>	>	>
you	you	you
were	were	were
perfectly	perfect	perfectly
justified	justifi	justified
you	you	you
'	'	'
re	re	re
likely	like	likely
in	in	in
for	for	for
a	a	a
great	great	great
deal	deal	deal
of	of	of

>	>	>
hassle	hassl	hassle
.	.	.

(	(	(
a	a	a
side	side	side
note	note	note
,	,	,
carrying	carri	carrying
a	a	a
gun	gun	gun
concealed	conceal	concealed
is	is	is
a	a	a
misdemeanor	misdemeanor	misdemeanor
.	.	.
)	)	)

>	>	>
this	this	this
is	is	is
exactly	exact	exactly
what	what	what
i	i	i
have	have	have
heard	heard	heard
before	befor	before
.	.	.

if	if	if
you	you	you
were	were	were
to	to	to
fade	fade	fade
away	away	away
and	and	and
nobody	nobodi	nobody
saw	saw	saw
you	you	you
what	what	what
kind	kind	kind
of	of	of
evidence	evid	evidence
would	would	would
they	they	they
be	be	be
able	abl	able
to	to	to
get	get	get
to	to	to
catch	catch	catch
you	you	you

(	(	(
this	this	this
is	is	is
assuming	assum	assuming
that	that	that
you	you	you
either	either	either
collected	collect	collected
your	your	your
brass	brass	brass
or	or	or
had	had	had
a	a	a
revolver	revolv	revolver
)	)	)
?	?	?

>	>	>
>	>	>
what	what	what
kind	kind	kind

>	>	>
>	>	>
of	of	of
laws	law	law
are	are	are
on	on	on
the	the	the
books	book	book
regarding	regard	regarding
this	this	this
type	type	type
of	of	of
situation	situat	situation
?	?	?

what	what	what
would	would	would

>	>	>
>	>	>
be	be	be
the	the	the
most	most	most
likely	like	likely
thing	thing	thing
to	to	to
happen	happen	happen
to	to	to
you	you	you
if	if	if
you	you	you
stayed	stay	stayed
and	and	and
waited	wait	waited
and	and	and

>	>	>
>	>	>
it	it	it
was	was	wa
a	a	a
first	first	first
offense	offens	offense
?	?	?

what	what	what
would	would	would
happen	happen	happen
if	if	if
you	you	you
took	took	took
off	off	off
but	but	but
someone	someon	someone

>	>	>
>	>	>
saw	saw	saw
you	you	you
and	and	and
you	you	you
were	were	were
caught	caught	caught
?	?	?

>	>	>

>	>	>
it	it	it
'	'	'
s	s	s
one	one	one
of	of	of
those	those	those
"	"	"
by	by	by
state	state	state
"	"	"
things	thing	thing
,	,	,
pretty	pretti	pretty
much	much	much
.	.	.

guess	guess	guess
it	it	it
'	'	'
s	s	s
time	time	time
to	to	to
take	take	take
a	a	a
trip	trip	trip
to	to	to
the	the	the
library	librari	library
and	and	and
look	look	look
at	at	at
the	the	the
illinois	illinoi	illinois
statutes	statut	statute
again	again	again
:	:	:
-	-	-
)	)	)
just	just	just
for	for	for
the	the	the
record	record	record
folks	folk	folk
i	i	i
'	'	'
m	m	m
just	just	just
asking	ask	asking
this	this	this
because	becaus	because
i	i	i
'	'	'
m	m	m
curious	curious	curious
.	.	.

i	i	i
'	'	'
m	m	m
just	just	just
trying	tri	trying
to	to	to
find	find	find
out	out	out
from	from	from
people	peopl	people
who	who	who
have	have	have
read	read	read
more	more	more
on	on	on
stuff	stuff	stuff
like	like	like
this	this	this
.	.	.

>	>	>
david	david	david
veal	veal	veal
univ	univ	univ
.	.	.

of	of	of
tenn	tenn	tenn
.	.	.

div	div	div
.	.	.

of	of	of
cont	cont	cont
.	.	.

education	educ	education
info	info	info
.	.	.

services	servic	service
group	group	group

>	>	>
pa146008@utkvm1.utk.edu	pa146008@utkvm1.utk.edu	pa146008@utkvm1.utk.edu
-	-	-
"	"	"
i	i	i
still	still	still
remember	rememb	remember
the	the	the
way	way	way
you	you	you
laughed	laugh	laughed
,	,	,
the	the	the
day	day	day

>	>	>
your	your	your
pushed	push	pushed
me	me	me
down	down	down
the	the	the
elevator	elev	elevator
shaft	shaft	shaft
;	;	;
i	i	i
'	'	'
m	m	m
beginning	begin	beginning
to	to	to
think	think	think
you	you	you
don	don	don
'	'	'
t	t	t

>	>	>
love	love	love
me	me	me
anymore	anymor	anymore
.	.	.
"	"	"
-	-	-
"	"	"
weird	weird	weird
al	al	al
"	"	"

jason	jason	jason
-	-	-
u28037@uicvm.cc.uic.edu	u28037@uicvm.cc.uic.edu	u28037@uicvm.cc.uic.edu
