organization	organ	organization
so	so	so
insured	insur	insured

>	>	>
>	>	>
>	>	>
must	must	must
always	alway	always
carry	carri	carry
their	their	their
blue	blue	blue
cross	cross	cross
card	card	card
.	.	.

before	befor	before
entering	enter	entering
a	a	a
hospital	hospit	hospital
,	,	,
>	>	>
>	>	>
>	>	>
you	you	you
must	must	must
notify	notifi	notify
blue	blue	blue
cross	cross	cross
,	,	,
or	or	or
they	they	they
will	will	will
refuse	refus	refuse
to	to	to
pay	pay	pay
your	your	your
bills	bill	bill
.	.	.

>	>	>
>	>	>
>	>	>
in	in	in
an	an	an
emergency	emerg	emergency
,	,	,
where	where	where
you	you	you
must	must	must
be	be	be
treated	treat	treated
before	befor	before
notifying	notifi	notifying
them	them	them
,	,	,
>	>	>
>	>	>
>	>	>
you	you	you
must	must	must
inform	inform	inform
them	them	them
within	within	within
24	24	24
hours	hour	hour
or	or	or
(	(	(
if	if	if
you	you	you
are	are	are
unable	unabl	unable
to	to	to
do	do	do

>	>	>
>	>	>
>	>	>
so	so	so
for	for	for
medical	medic	medical
reasons	reason	reason
)	)	)
the	the	the
hospital	hospit	hospital
must	must	must
.	.	.

failing	fail	failing
to	to	to
do	do	do
so	so	so
within	within	within

>	>	>
>	>	>
>	>	>
24	24	24
hours	hour	hour
means	mean	mean
they	they	they
will	will	will
not	not	not
cover	cover	cover
the	the	the
hospitalization	hospit	hospitalization
.	.	.

in	in	in
you	you	you
need	need	need

>	>	>
>	>	>
>	>	>
your	your	your
card	card	card
to	to	to
notify	notifi	notify
them	them	them
(	(	(
and	and	and
without	without	without
the	the	the
card	card	card
,	,	,
the	the	the
hospital	hospit	hospital
certainly	certain	certainly

>	>	>
>	>	>
>	>	>
wouldn	wouldn	wouldn
'	'	'
t	t	t
know	know	know
they	they	they
had	had	had
to	to	to
.	.	.
)	)	)
therefore	therefor	therefore
,	,	,
you	you	you
are	are	are
required	requir	required
to	to	to
carry	carri	carry

>	>	>
>	>	>
>	>	>
the	the	the
card	card	card
at	at	at
all	all	all
times	time	time
,	,	,
or	or	or
do	do	do
without	without	without
emergency	emerg	emergency
medical	medic	medical
coverage	coverag	coverage
.	.	.

>	>	>
>	>	>
>	>	>

>	>	>
>	>	>
which	which	which
works	work	work
fine	fine	fine
until	until	until
you	you	you
end	end	end
up	up	up
in	in	in
the	the	the
hospital	hospit	hospital
because	becaus	because
you	you	you
were	were	were
hit	hit	hit
on	on	on

>	>	>
the	the	the

>	>	>
>	>	>
head	head	head
and	and	and
your	your	your
wallet	wallet	wallet
,	,	,
with	with	with
your	your	your
insurance	insur	insurance
card	card	card
,	,	,
is	is	is
stolen	stolen	stolen
.	.	.

this	this	this
happened	happen	happened
to	to	to

>	>	>
>	>	>
me	me	me
,	,	,
and	and	and
it	it	it
took	took	took
six	six	six
months	month	month
to	to	to
sort	sort	sort
the	the	the
mess	mess	mess
out	out	out
.	.	.

these	these	these
sorts	sort	sort
of	of	of
plans	plan	plan
sound	sound	sound

>	>	>
>	>	>
nice	nice	nice
at	at	at
first	first	first
,	,	,
but	but	but
in	in	in
the	the	the
end	end	end
they	they	they
just	just	just
create	creat	create
a	a	a
lot	lot	lot
of	of	of
paperwork	paperwork	paperwork
and	and	and

>	>	>
>	>	>
bureaucracy	bureaucraci	bureaucracy
to	to	to
deal	deal	deal
with	with	with
all	all	all
the	the	the
checking	check	checking
and	and	and
filing	file	filing
they	they	they
involve	involv	involve
.	.	.

>	>	>
>	>	>

>	>	>
>	>	>
tom	tom	tom
the	the	the
non	non	non
hacker	hacker	hacker

>	>	>

>	>	>
whoa	whoa	whoa
!	!	!

have	have	have
a	a	a
care	care	care
what	what	what
you	you	you
say	say	say
,	,	,
tom	tom	tom
.	.	.

the	the	the
_obvious_	_obvious_	_obvious_
answer	answer	answer
to	to	to
that	that	that
problem	problem	problem

>	>	>
is	is	is
to	to	to
tatoo	tatoo	tatoo
your	your	your
national	nation	national
i	i	i
.	.	.
d	d	d
.	.	.
number	number	number
on	on	on
you	you	you
-	-	-
-	-	-
say	say	say
,	,	,
your	your	your
forearm	forearm	forearm
-	-	-
-	-	-
so	so	so
you	you	you

>	>	>
can	can	can
never	never	never
leave	leav	leave
home	home	home
without	without	without
it	it	it
.	.	.

hell	hell	hell
,	,	,
it	it	it
worked	work	worked
once	onc	once
before	befor	before
.	.	.
.	.	.
.	.	.

>	>	>

>	>	>
and	and	and
that	that	that
brings	bring	brings
us	us	u
back	back	back
to	to	to
my	my	my
original	origin	original
,	,	,
sarcasm	sarcasm	sarcasm
-	-	-
laden	laden	laden
post	post	post
:	:	:
where	where	where
'	'	'
s	s	s
the	the	the

>	>	>
outcry	outcri	outcry
from	from	from
the	the	the
liberal	liber	liberal
sector	sector	sector
over	over	over
the	the	the
national	nation	national
id	id	id
card	card	card
?	?	?

my	my	my
god	god	god
,	,	,
if	if	if
some	some	some

>	>	>
conservative	conserv	conservative
had	had	had
proposed	propos	proposed
this	this	this
-	-	-
-	-	-
plus	plus	plus
clinton	clinton	clinton
'	'	'
s	s	s
"	"	"
national	nation	national
police	polic	police
"	"	"
proposal	propos	proposal

>	>	>
-	-	-
-	-	-
the	the	the
liberals	liber	liberal
would	would	would
be	be	be
shrieking	shriek	shrieking
"	"	"
sieg	sieg	sieg
heil	heil	heil
!	!	!
"	"	"
and	and	and
"	"	"
police	polic	police
state	state	state
"	"	"
!	!	!

>	>	>

>	>	>
you	you	you
self	self	self
-	-	-
styled	style	styled
liberals	liber	liberal
ought	ought	ought
to	to	to
be	be	be
ashamed	asham	ashamed
of	of	of
yourselves	yourselv	yourselves
.	.	.

hypocrites	hypocrit	hypocrite
!	!	!

i	i	i
don	don	don
'	'	'
t	t	t
know	know	know
what	what	what
you	you	you
watch	watch	watch
,	,	,
but	but	but
i	i	i
saw	saw	saw
a	a	a
spokesman	spokesman	spokesman
for	for	for
the	the	the
aclu	aclu	aclu
voice	voic	voice
opposition	opposit	opposition
to	to	to
this	this	this
idea	idea	idea
on	on	on
nbc	nbc	nbc
the	the	the
very	veri	very
first	first	first
night	night	night
.	.	.
