organization	organ	organization
it	it	it
was	was	wa
a	a	a
first	first	first
offense	offens	offense
?	?	?

what	what	what
would	would	would

>	>	>
>	>	>
happen	happen	happen
if	if	if
you	you	you
took	took	took
off	off	off
but	but	but
someone	someon	someone
saw	saw	saw
you	you	you
and	and	and
you	you	you
were	were	were
caught	caught	caught
?	?	?

>	>	>

>	>	>
ghods	ghod	ghods
.	.	.

do	do	do
you	you	you
have	have	have
-	-	-
any	ani	any
-	-	-
idea	idea	idea
how	how	how
much	much	much
trouble	troubl	trouble
you	you	you
'	'	'
d	d	d
get	get	get
into	into	into
for	for	for

>	>	>
taking	take	taking
off	off	off
like	like	like
that	that	that
?	?	?

leaving	leav	leaving
the	the	the
scene	scene	scene
of	of	of
an	an	an
auto	auto	auto
accident	accid	accident
is	is	is
bad	bad	bad

>	>	>
enough	enough	enough
!	!	!

killing	kill	killing
someone	someon	someone
&	&	&
leaving	leav	leaving
is	is	is
10	10	10
times	time	time
worse	wors	worse
.	.	.

who	who	who
'	'	'
s	s	s
going	go	going

>	>	>
to	to	to
seriously	serious	seriously
believe	believ	believe
it	it	it
was	was	wa
self	self	self
-	-	-
defense	defens	defense
when	when	when
you	you	you
took	took	took
the	the	the
time	time	time

>	>	>
to	to	to
collect	collect	collect
your	your	your
spent	spent	spent
casings	case	casing
?	?	?

"	"	"
but	but	but
officer	offic	officer
,	,	,
i	i	i
reload	reload	reload
!	!	!
"	"	"

>	>	>
well	well	well
,	,	,
like	like	like
someone	someon	someone
said	said	said
in	in	in
a	a	a
reply	repli	reply
to	to	to
this	this	this
it	it	it
really	realli	really
all	all	all
depends	depend	depends
on	on	on
the	the	the
area	area	area
that	that	that
you	you	you
live	live	live
in	in	in
.	.	.

see	see	see
david	david	david
veal	veal	veal
'	'	'
s	s	s
reply	repli	reply
to	to	to
this	this	this
.	.	.

i	i	i
have	have	have
heard	heard	heard
exactly	exact	exactly
the	the	the
same	same	same
thing	thing	thing
that	that	that
he	he	he
said	said	said
in	in	in
his	his	his
reply	repli	reply
-	-	-
to	to	to
fade	fade	fade
away	away	away
if	if	if
you	you	you
think	think	think
that	that	that
you	you	you
haven	haven	haven
'	'	'
t	t	t
been	been	been
seen	seen	seen
(	(	(
i	i	i
heard	heard	heard
this	this	this
from	from	from
a	a	a
police	polic	police
officer	offic	officer
)	)	)
.	.	.

for	for	for
the	the	the
record	record	record
though	though	though
he	he	he
was	was	wa
talking	talk	talking
about	about	about
in	in	in
tennessee	tennesse	tennessee
-	-	-
not	not	not
everywhere	everywher	everywhere
.	.	.

>	>	>
even	even	even
if	if	if
you	you	you
could	could	could
get	get	get
away	away	away
with	with	with
it	it	it
,	,	,
you	you	you
'	'	'
re	re	re
still	still	still
a	a	a
fugitive	fugit	fugitive
.	.	.

do	do	do

>	>	>
it	it	it
nice	nice	nice
&	&	&
legal	legal	legal
,	,	,
keep	keep	keep
your	your	your
law	law	law
-	-	-
abiding	abid	abiding
status	status	status
&	&	&
send	send	send
your	your	your
story	stori	story

>	>	>
into	into	into
the	the	the
armed	arm	armed
citizen	citizen	citizen
column	column	column
of	of	of
american	american	american
rifleman	rifleman	rifleman
.	.	.

>	>	>

>	>	>
jason	jason	jason

>	>	>

>	>	>
-	-	-
-	-	-
jason	jason	jason
-	-	-
u28037@uicvm.cc.uic.edu	u28037@uicvm.cc.uic.edu	u28037@uicvm.cc.uic.edu
