organization	organ	organization
"	"	"
things	thing	thing
he	he	he
can	can	can
see	see	see
"	"	"
with	with	with
"	"	"
things	thing	thing
that	that	that
exist	exist	exist
"	"	"
;	;	;

>	>	>
glocks	glock	glocks
have	have	have
multiple	multipl	multiple
safeties	safeti	safety
even	even	even
though	though	though
only	onli	only
one	one	one
is	is	is
visible	visibl	visible
from	from	from
the	the	the

>	>	>
outside	outsid	outside
.	.	.
)	)	)

>	>	>
excuse	excus	excuse
me	me	me
but	but	but
i	i	i
do	do	do
know	know	know
what	what	what
i	i	i
safety	safeti	safety
is	is	is
supposed	suppos	supposed
to	to	to
do	do	do
.	.	.

it	it	it
'	'	'
s	s	s
basic	basic	basic
purpose	purpos	purpose
-	-	-
not	not	not
to	to	to
let	let	let
the	the	the
gun	gun	gun
fire	fire	fire
until	until	until
you	you	you
'	'	'
re	re	re
ready	readi	ready
.	.	.

christ	christ	christ
,	,	,
i	i	i
'	'	'
ve	ve	ve
known	known	known
that	that	that
since	sinc	since
i	i	i
had	had	had
my	my	my
first	first	first
crosman	crosman	crosman
air	air	air
gun	gun	gun
.	.	.

you	you	you
don	don	don
'	'	'
t	t	t
know	know	know
me	me	me
so	so	so
don	don	don
'	'	'
t	t	t
make	make	make
assumptions	assumpt	assumption
about	about	about
what	what	what
i	i	i
know	know	know
and	and	and
don	don	don
'	'	'
t	t	t
know	know	know
.	.	.

i	i	i
do	do	do
know	know	know
that	that	that
the	the	the
glock	glock	glock
has	has	ha
multiple	multipl	multiple
safties	safti	safties
from	from	from
reports	report	report
,	,	,
looking	look	looking
at	at	at
them	them	them
at	at	at
a	a	a
gun	gun	gun
shop	shop	shop
,	,	,
and	and	and
friends	friend	friend
who	who	who
own	own	own
one	one	one
.	.	.

>	>	>
a	a	a
safety	safeti	safety
is	is	is
supposed	suppos	supposed
to	to	to
keep	keep	keep
the	the	the
gun	gun	gun
from	from	from
going	go	going
off	off	off
unless	unless	unless
that	that	that
'	'	'
s	s	s

>	>	>
what	what	what
the	the	the
user	user	user
wants	want	want
.	.	.

with	with	with
glocks	glock	glocks
,	,	,
one	one	one
says	say	say
"	"	"
i	i	i
want	want	want
the	the	the
gun	gun	gun
to	to	to
go	go	go

>	>	>
off	off	off
"	"	"
by	by	by
pulling	pull	pulling
the	the	the
trigger	trigger	trigger
.	.	.

if	if	if
the	the	the
safeties	safeti	safety
it	it	it
has	has	ha
make	make	make
that	that	that
work	work	work
,	,	,
>	>	>
it	it	it
has	has	ha
a	a	a
"	"	"
real	real	real
"	"	"
safety	safeti	safety
,	,	,
no	no	no
matter	matter	matter
what	what	what
kratz	kratz	kratz
thinks	think	think
.	.	.

>	>	>

>	>	>
-	-	-
andy	andi	andy

>	>	>
-	-	-
-	-	-
from	from	from
the	the	the
things	thing	thing
i	i	i
have	have	have
read	read	read
/	/	/
heard	heard	heard
glocks	glock	glocks
are	are	are
always	alway	always
knocked	knock	knocked
because	becaus	because
of	of	of
the	the	the
trigger	trigger	trigger
safety	safeti	safety
.	.	.

they	they	they
are	are	are
supposedly	suppos	supposedly
harder	harder	harder
to	to	to
learn	learn	learn
to	to	to
use	use	use
properly	proper	properly
.	.	.

every	everi	every
article	articl	article
that	that	that
i	i	i
have	have	have
read	read	read
can	can	can
'	'	'
t	t	t
be	be	be
wrong	wrong	wrong
about	about	about
the	the	the
damn	damn	damn
thing	thing	thing
.	.	.

and	and	and
don	don	don
'	'	'
t	t	t
ask	ask	ask
me	me	me
to	to	to
quote	quot	quote
my	my	my
sources	sourc	source
because	becaus	because
i	i	i
don	don	don
'	'	'
t	t	t
keep	keep	keep
a	a	a
ton	ton	ton
of	of	of
gun	gun	gun
magazines	magazin	magazine
and	and	and
/	/	/
or	or	or
rec	rec	rec
.	.	.
guns	gun	gun
articles	articl	article
laying	lay	laying
around	around	around
.	.	.

boy	boy	boy
,	,	,
you	you	you
can	can	can
'	'	'
t	t	t
make	make	make
a	a	a
simple	simpl	simple
statement	statement	statement
on	on	on
here	here	here
without	without	without
someone	someon	someone
getting	get	getting
right	right	right
on	on	on
your	your	your
ass	ass	as
.	.	.

no	no	no
wonder	wonder	wonder
why	whi	why
there	there	there
are	are	are
so	so	so
many	mani	many
problems	problem	problem
in	in	in
the	the	the
world	world	world
.	.	.

everyone	everyon	everyone
takes	take	take
everything	everyth	everything
just	just	just
a	a	a
little	littl	little
too	too	too
seriously	serious	seriously
.	.	.

by	by	by
the	the	the
way	way	way
,	,	,
i	i	i
'	'	'
m	m	m
not	not	not
going	go	going
to	to	to
reply	repli	reply
to	to	to
any	ani	any
of	of	of
this	this	this
stuff	stuff	stuff
anymore	anymor	anymore
as	as	a
someone	someon	someone
made	made	made
the	the	the
good	good	good
point	point	point
that	that	that
this	this	this
discussion	discuss	discussion
is	is	is
getting	get	getting
too	too	too
close	close	close
to	to	to
r	r	r
.	.	.
g	g	g

(	(	(
and	and	and
yes	yes	yes
i	i	i
know	know	know
that	that	that
i	i	i
had	had	had
something	someth	something
to	to	to
do	do	do
with	with	with
that	that	that
)	)	)
.	.	.

jason	jason	jason
