distribution	distribut	distribution
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=

=	=	=
/	/	/
|	|	|
|	|	|
\	\	\
|	|	|
-	-	-
\	\	\
/	/	/
-	-	-
-	-	-
\	\	\
|	|	|
/	/	/
\	\	\
|	|	|
|	|	|
\	\	\
|	|	|
/	/	/
-	-	-
-	-	-
adrenaline	adrenalin	adrenaline
online	onlin	online
(	(	(
firstclass	firstclass	firstclass
)	)	)
=	=	=

=	=	=
/	/	/
-	-	-
|	|	|
|	|	|
\	\	\
|	|	|
_	_	_
/	/	/
|	|	|
-	-	-
|	|	|
\	\	\
|	|	|
/	/	/
-	-	-
-	-	-
|	|	|
|	|	|
|	|	|
|	|	|
\	\	\
|	|	|
|	|	|
-	-	-
(	(	(
802) 425-2332	802) 425-2332	802) 425-2332
*	*	*
charlotte	charlott	charlotte
,	,	,
vt	vt	vt
=	=	=

=	=	=
/	/	/
|	|	|
|	|	|
_	_	_
/	/	/
|	|	|
\	\	\
\	\	\
-	-	-
-	-	-
|	|	|
\	\	\
|	|	|
|	|	|
|	|	|
-	-	-
-	-	-
|	|	|
|	|	|
\	\	\
\	\	\
-	-	-
-	-	-
free	free	free
access	access	access
!	!	!
!	!	!

*	*	*
16	16	16
.	.	.
8k	8k	8k
hst	hst	hst
dual	dual	dual
=	=	=

=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=

=	=	=
onenet	onenet	onenet
*	*	*
macunion	macunion	macunion
*	*	*
fidonet	fidonet	fidonet
*	*	*
usenet	usenet	usenet
*	*	*
120	120	120
+	+	+
conferences	confer	conference
*	*	*
megs	meg	meg
of	of	of
files	file	file
=	=	=

=	=	=
dedicated	dedic	dedicated
to	to	to
mac	mac	mac
users	user	user
,	,	,
cyberpunks	cyberpunk	cyberpunk
,	,	,
civil	civil	civil
libertarians	libertarian	libertarian
and	and	and
mecha	mecha	mecha
gamers	gamer	gamers
=	=	=

=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
