x	x	x
#	#	#
|	|	|
>	>	>
opposing	oppos	opposing
"	"	"
state	state	state
"	"	"
to	to	to
possible	possibl	possible
harm	harm	harm
innocent	innoc	innocent
civilians	civilian	civilian
in	in	in
their	their	their
search	search	search
or	or	or
,	,	,
#	#	#
|	|	|
>	>	>
in	in	in
order	order	order
to	to	to
avoid	avoid	avoid
the	the	the
deaths	death	death
of	of	of
civilians	civilian	civilian
,	,	,
abandon	abandon	abandon
the	the	the
search	search	search
.	.	.

certainly	certain	certainly
the	the	the

#	#	#
|	|	|
>	>	>
people	peopl	people
who	who	who
use	use	use
the	the	the
population	popul	population
for	for	for
cover	cover	cover
are	are	are
*	*	*
also	also	also
*	*	*
to	to	to
blaim	blaim	blaim
for	for	for
dragging	drag	dragging
the	the	the

#	#	#
|	|	|
>	>	>
innocent	innoc	innocent
civilians	civilian	civilian
into	into	into
harm	harm	harm
'	'	'
s	s	s
way	way	way
.	.	.

#	#	#
|	|	|
>	>	>

#	#	#
|	|	|
>	>	>
are	are	are
you	you	you
suggesting	suggest	suggesting
that	that	that
,	,	,
when	when	when
guerillas	guerilla	guerilla
use	use	use
the	the	the
population	popul	population
for	for	for
cover	cover	cover
,	,	,
israel	israel	israel

#	#	#
|	|	|
>	>	>
should	should	should
totally	total	totally
back	back	back
down	down	down
?	?	?
so	so	so
.	.	.
.	.	.
.	.	.
the	the	the
easiest	easiest	easiest
way	way	way
to	to	to
get	get	get
away	away	away
with	with	with
attacking	attack	attacking

#	#	#
|	|	|
>	>	>
another	anoth	another
is	is	is
to	to	to
use	use	use
an	an	an
innocent	innoc	innocent
as	as	a
a	a	a
shield	shield	shield
and	and	and
hope	hope	hope
that	that	that
the	the	the
other	other	other
respects	respect	respect

#	#	#
|	|	|
>	>	>
innocent	innoc	innocent
lives	live	life
?	?	?

#	#	#

#	#	#
tell	tell	tell
me	me	me
tim	tim	tim
,	,	,
what	what	what
are	are	are
these	these	these
guerillas	guerilla	guerilla
doing	do	doing
wrong	wrong	wrong
?	?	?

assuming	assum	assuming
that	that	that
they	they	they
are	are	are
using	use	using

#	#	#
civilians	civilian	civilian
for	for	for
cover	cover	cover
,	,	,
are	are	are
they	they	they
not	not	not
killing	kill	killing
soldiers	soldier	soldier
in	in	in
their	their	their
country	countri	country
?	?	?

if	if	if
the	the	the

#	#	#
buffer	buffer	buffer
zone	zone	zone
is	is	is
to	to	to
prevent	prevent	prevent
attacks	attack	attack
on	on	on
israel	israel	israel
,	,	,
is	is	is
it	it	it
not	not	not
working	work	working
?	?	?

why	whi	why
is	is	is
it	it	it

#	#	#
further	further	further
neccessary	neccessari	neccessary
for	for	for
israeli	isra	israeli
guns	gun	gun
to	to	to
pound	pound	pound
lebanese	lebanes	lebanese
villages	villag	village
?	?	?

why	whi	why
not	not	not
just	just	just

#	#	#
kill	kill	kill
those	those	those
who	who	who
try	tri	try
to	to	to
infiltrate	infiltr	infiltrate
the	the	the
buffer	buffer	buffer
zone	zone	zone
?	?	?

you	you	you
see	see	see
,	,	,
there	there	there
is	is	is
more	more	more
to	to	to

#	#	#
the	the	the
shelling	shell	shelling
of	of	of
the	the	the
villages	villag	village
.	.	.
.	.	.
.	.	.
.	.	.

it	it	it
is	is	is
called	call	called
retaliation	retali	retaliation
.	.	.
.	.	.
.	.	.

"	"	"
getting	get	getting
back	back	back
"	"	"

#	#	#
.	.	.
.	.	.
.	.	.
"	"	"
getting	get	getting
even	even	even
"	"	"
.	.	.

it	it	it
doesn	doesn	doesn
'	'	'
t	t	t
make	make	make
sense	sens	sense
to	to	to
shell	shell	shell
the	the	the
villages	villag	village
.	.	.

the	the	the
least	least	least

#	#	#
it	it	it
shows	show	show
is	is	is
a	a	a
reckless	reckless	reckless
disregard	disregard	disregard
by	by	by
the	the	the
israeli	isra	israeli
government	govern	government
for	for	for
the	the	the
lives	live	life
of	of	of

#	#	#
civilians	civilian	civilian
.	.	.

please	pleas	please
clarify	clarifi	clarify
your	your	your
standards	standard	standard
for	for	for
rules	rule	rule
of	of	of
engagement	engag	engagement
.	.	.

as	as	a
i	i	i

understand	understand	understand
it	it	it
,	,	,
israelis	isra	israeli
are	are	are
at	at	at
all	all	all
times	time	time
and	and	and
under	under	under
all	all	all

circumstances	circumst	circumstance
fair	fair	fair
targets	target	target
.	.	.

their	their	their
opponents	oppon	opponent
are	are	are
legitimate	legitim	legitimate

targets	target	target
only	onli	only
when	when	when
mirandized	mirand	mirandized
,	,	,
or	or	or
some	some	some
such	such	such
?	?	?

i	i	i
'	'	'
m	m	m
sure	sure	sure
that	that	that
this	this	this
makes	make	make
perfect	perfect	perfect
sense	sens	sense
if	if	if
you	you	you
grant	grant	grant
*	*	*
a	a	a
*	*	*
priori	priori	priori
*	*	*

that	that	that
israelis	isra	israeli
are	are	are
the	the	the
black	black	black
hats	hat	hat
,	,	,
and	and	and
that	that	that
therefore	therefor	therefore
killing	kill	killing

them	them	them
is	is	is
automatically	automat	automatically
a	a	a
good	good	good
thing	thing	thing
(	(	(
go	go	go
hezbollah	hezbollah	hezbollah
!	!	!
)	)	)
.	.	.

the	the	the

corollary	corollari	corollary
is	is	is
that	that	that
the	the	the
hezbollah	hezbollah	hezbollah
are	are	are
the	the	the
white	white	white
hats	hat	hat
,	,	,
and	and	and
that	that	that

whatever	whatev	whatever
they	they	they
do	do	do
is	is	is
a	a	a
good	good	good
thing	thing	thing
,	,	,
and	and	and
the	the	the
israelis	isra	israeli
only	onli	only
prove	prove	prove

themselves	themselv	themselves
to	to	to
be	be	be
bad	bad	bad
guys	guy	guy
by	by	by
attacking	attack	attacking
them	them	them
.	.	.

this	this	this
sounds	sound	sound
suspiciously	suspici	suspiciously
like	like	like
a	a	a
hockey	hockey	hockey
fan	fan	fan
i	i	i
know	know	know
,	,	,
who	who	who
cheers	cheer	cheer

when	when	when
one	one	one
of	of	of
the	the	the
players	player	player
on	on	on
his	his	his
team	team	team
uses	use	us
his	his	his
stick	stick	stick
to	to	to
permanently	perman	permanently

rearrange	rearrang	rearrange
an	an	an
opponent	oppon	opponent
'	'	'
s	s	s
face	face	face
,	,	,
and	and	and
curses	curs	curse
the	the	the
ref	ref	ref
for	for	for
penalizing	penal	penalizing

his	his	his
side	side	side
.	.	.

of	of	of
course	cours	course
,	,	,
when	when	when
it	it	it
'	'	'
s	s	s
different	differ	different
when	when	when
the	the	the
roles	role	role
are	are	are

reversed	revers	reversed
.	.	.

-	-	-
-	-	-
-	-	-
d	d	d
.	.	.
c	c	c
.	.	.
sessions	session	session
speaking	speak	speaking
for	for	for
myself	myself	myself
-	-	-
-	-	-
-	-	-

-	-	-
-	-	-
-	-	-
note	note	note
new	new	new
network	network	network
address	address	address
:	:	:
dcs@witsend.tnet.com	dcs@witsend.tnet.com	dcs@witsend.tnet.com
-	-	-
-	-	-
-	-	-

-	-	-
-	-	-
-	-	-
author	author	author
(	(	(
and	and	and
everything	everyth	everything
else	els	else
!	!	!
)	)	)
of	of	of
tmail	tmail	tmail
(	(	(
dos	dos	do
mail	mail	mail
/	/	/
news	news	news
shell	shell	shell
)	)	)
-	-	-
-	-	-
-	-	-
