organization	organ	organization
people	peopl	people
.	.	.
.	.	.
.	.	.
just	just	just
their	their	their
opinions	opinion	opinion
.	.	.

i	i	i
meant	meant	meant
when	when	when
chatting	chat	chatting
with	with	with
the	the	the
ones	one	one
who	who	who
refuse	refus	refuse
to	to	to
listen	listen	listen
to	to	to
any	ani	any
idea	idea	idea
other	other	other
than	than	than
their	their	their
own	own	own
.	.	.
.	.	.
.	.	.
then	then	then
it	it	it
just	just	just
becomes	becom	becomes
an	an	an
exercise	exercis	exercise
for	for	for
amusement	amus	amusement
.	.	.

>	>	>
[	[	[
.	.	.
.	.	.
.	.	.
]	]	]

>	>	>
>	>	>
for	for	for
the	the	the
motto	motto	motto
to	to	to
be	be	be
legitimate	legitim	legitimate
,	,	,
it	it	it
would	would	would
have	have	have
to	to	to
read	read	read
:	:	:

>	>	>
>	>	>
"	"	"
in	in	in
god	god	god
,	,	,
gods	god	god
,	,	,
or	or	or
godlessness	godless	godlessness
we	we	we
trust	trust	trust
"	"	"

>	>	>

>	>	>
would	would	would
you	you	you
approve	approv	approve
of	of	of
such	such	such
a	a	a
motto	motto	motto
?	?	?

no	no	no
.	.	.
.	.	.
.	.	.
.	.	.
not	not	not
unless	unless	unless
the	the	the
only	onli	only
way	way	way
to	to	to
get	get	get
rid	rid	rid
of	of	of
the	the	the
current	current	current
one	one	one
was	was	wa
to	to	to
change	chang	change
it	it	it
to	to	to
such	such	such
as	as	a
that	that	that
.	.	.
