organization	organ	organization
,	,	,
away	away	away
from	from	from

>	>	>
painful	pain	painful
knuckle	knuckl	knuckle
splitting	split	splitting
hard	hard	hard
things	thing	thing
.	.	.

if	if	if
you	you	you
can	can	can
'	'	'
t	t	t
pull	pull	pull
it	it	it

>	>	>
because	becaus	because
things	thing	thing
are	are	are
in	in	in
the	the	the
way	way	way
,	,	,
push	push	push
it	it	it
with	with	with
an	an	an
open	open	open
hand	hand	hand
.	.	.

i	i	i
find	find	find
this	this	this
method	method	method
much	much	much
better	better	better
myself	myself	myself
,	,	,
too	too	too
,	,	,
although	although	although
i	i	i
do	do	do
really	realli	really
hate	hate	hate
it	it	it
when	when	when
the	the	the
bolt	bolt	bolt
finally	final	finally
comes	come	come
loose	loos	loose
and	and	and
the	the	the
wrench	wrench	wrench
and	and	and
my	my	my
hand	hand	hand
both	both	both
come	come	come
crashing	crash	crashing
into	into	into
my	my	my
face	face	face
.	.	.

after	after	after
coming	come	coming
to	to	to
,	,	,
which	which	which
is	is	is
about	about	about
15	15	15
minutes	minut	minute
later	later	later
,	,	,
i	i	i
change	chang	change
my	my	my
clothes	cloth	clothes
(	(	(
because	becaus	because
by	by	by
this	this	this
time	time	time
all	all	all
the	the	the
oil	oil	oil
has	has	ha
drained	drain	drained
*	*	*
on	on	on
*	*	*
me	me	me
)	)	)
,	,	,
and	and	and
ice	ice	ice
my	my	my
entire	entir	entire
face	face	face
and	and	and
suck	suck	suck
down	down	down
about	about	about
20	20	20
tylenol	tylenol	tylenol
to	to	to
ease	eas	ease
the	the	the
pain	pain	pain
.	.	.

later	later	later
in	in	in
the	the	the
day	day	day
i	i	i
then	then	then
proceed	proceed	proceed
with	with	with
refilling	refil	refilling
the	the	the
engine	engin	engine
oil	oil	oil
.	.	.

it	it	it
'	'	'
s	s	s
just	just	just
crazy	crazi	crazy
how	how	how
i	i	i
try	tri	try
and	and	and
change	chang	change
the	the	the
oil	oil	oil
on	on	on
my	my	my
cars	car	car
in	in	in
one	one	one
weekend	weekend	weekend
-	-	-
-	-	-
-	-	-
i	i	i
go	go	go
through	through	through
about	about	about
3	3	3
bottles	bottl	bottle
of	of	of
tylenol	tylenol	tylenol
and	and	and
2	2	2
bags	bag	bag
of	of	of
ice	ice	ice
.	.	.

john	john	john
